symbol,date,time,open,high,low,close,volume
TATASTEEL,2016-08-25,15:30:00,381.70,382.30,370.50,373.00,4773691
TATASTEEL,2016-08-26,15:30:00,375.00,375.95,367.30,369.00,4311789
TATASTEEL,2016-08-29,15:30:00,368.90,375.45,367.75,374.15,3718240
TATASTEEL,2016-08-30,15:30:00,375.35,379.50,375.00,378.00,3804436
TATASTEEL,2016-08-31,15:30:00,378.00,381.35,368.80,370.10,4530361
TATASTEEL,2016-09-01,15:30:00,371.30,377.70,369.50,374.55,4453409
TATASTEEL,2016-09-02,15:30:00,375.95,376.20,370.40,373.05,2824297
TATASTEEL,2016-09-06,15:30:00,375.00,386.75,374.40,385.00,5828507
TATASTEEL,2016-09-07,15:30:00,387.10,394.15,386.60,390.25,6965026
TATASTEEL,2016-09-08,15:30:00,390.25,408.60,390.25,402.30,11234744
TATASTEEL,2016-09-09,15:30:00,404.90,406.90,393.25,395.10,5962851
TATASTEEL,2016-09-12,15:30:00,385.00,385.90,370.60,371.95,6717365
TATASTEEL,2016-09-14,15:30:00,370.00,378.00,363.15,374.20,11105369
TATASTEEL,2016-09-15,15:30:00,374.00,375.10,363.75,366.30,4875040
TATASTEEL,2016-09-16,15:30:00,369.50,371.90,357.60,359.20,6075750
TATASTEEL,2016-09-19,15:30:00,360.00,363.95,355.30,361.50,5121611
TATASTEEL,2016-09-20,15:30:00,364.30,370.00,359.25,365.25,5697810
TATASTEEL,2016-09-21,15:30:00,365.30,372.50,365.30,369.40,6868967
TATASTEEL,2016-09-22,15:30:00,377.70,379.80,372.80,377.30,6669414
TATASTEEL,2016-09-23,15:30:00,377.35,378.40,371.00,371.90,4461871
TATASTEEL,2016-09-26,15:30:00,371.35,376.55,368.40,370.25,4351638
TATASTEEL,2016-09-27,15:30:00,372.60,374.60,366.60,367.65,4403977
TATASTEEL,2016-09-28,15:30:00,368.25,382.20,368.25,381.20,6338968
TATASTEEL,2016-09-29,15:30:00,383.35,383.85,365.00,367.55,13361086
TATASTEEL,2016-09-30,15:30:00,367.85,377.45,363.30,375.55,5506157
TATASTEEL,2016-10-03,15:30:00,376.90,384.80,376.30,383.20,4480810
TATASTEEL,2016-10-04,15:30:00,386.00,393.00,382.40,391.55,8523432
TATASTEEL,2016-10-05,15:30:00,395.20,396.50,389.00,389.05,5154852
TATASTEEL,2016-10-06,15:30:00,392.80,395.85,386.55,391.05,7730432
