symbol,date,time,open,high,low,close,volume
GAIL,2016-08-09,15:30:00,382.90,383.85,377.60,378.50,952809
GAIL,2016-08-10,15:30:00,378.00,378.50,372.50,374.00,624165
GAIL,2016-08-11,15:30:00,373.70,374.55,369.60,370.00,771688
GAIL,2016-08-12,15:30:00,371.25,377.50,371.15,372.65,807305
GAIL,2016-08-16,15:30:00,373.75,376.55,368.30,371.05,742125
GAIL,2016-08-17,15:30:00,370.10,371.60,367.00,367.10,1323852
GAIL,2016-08-18,15:30:00,368.90,369.50,364.55,365.00,1710646
GAIL,2016-08-19,15:30:00,365.60,369.00,362.25,363.80,3347487
GAIL,2016-08-22,15:30:00,364.70,367.60,362.85,364.50,2014993
GAIL,2016-08-23,15:30:00,365.50,370.50,363.55,366.50,2366359
GAIL,2016-08-24,15:30:00,367.00,368.25,364.25,365.50,2822786
GAIL,2016-08-25,15:30:00,367.90,375.00,364.50,373.20,5526208
GAIL,2016-08-26,15:30:00,374.00,385.00,372.15,377.15,3261133
GAIL,2016-08-29,15:30:00,380.90,382.50,375.45,379.00,933012
GAIL,2016-08-30,15:30:00,379.50,389.25,379.20,387.15,2207145
GAIL,2016-08-31,15:30:00,387.15,389.80,381.80,382.80,1607971
GAIL,2016-09-01,15:30:00,383.00,395.10,383.00,392.40,2444262
GAIL,2016-09-02,15:30:00,391.00,396.50,388.50,395.55,1014526
GAIL,2016-09-06,15:30:00,396.65,405.90,394.25,402.30,2872228
GAIL,2016-09-07,15:30:00,405.95,407.70,385.35,394.80,3433153
GAIL,2016-09-08,15:30:00,407.00,407.00,387.00,388.65,4044545
GAIL,2016-09-09,15:30:00,388.10,399.00,388.00,394.95,3875929
GAIL,2016-09-12,15:30:00,389.40,389.80,383.40,386.25,1729111
GAIL,2016-09-14,15:30:00,386.00,390.00,384.55,386.70,1453397
GAIL,2016-09-15,15:30:00,386.55,393.50,384.60,386.00,1322989
GAIL,2016-09-16,15:30:00,387.00,395.50,387.00,388.70,2824595
GAIL,2016-09-19,15:30:00,388.60,394.00,387.10,387.30,1272016
GAIL,2016-09-20,15:30:00,388.80,391.65,384.30,385.00,1426638
GAIL,2016-09-21,15:30:00,386.40,391.80,386.10,386.25,2989775
GAIL,2016-09-22,15:30:00,390.60,394.00,388.35,389.80,1631134
GAIL,2016-09-23,15:30:00,387.10,393.30,385.00,386.00,3040261
GAIL,2016-09-26,15:30:00,384.05,387.00,375.05,375.60,1980748
GAIL,2016-09-27,15:30:00,377.00,378.50,371.85,372.20,1951921
GAIL,2016-09-28,15:30:00,373.05,378.80,373.05,375.00,1963154
GAIL,2016-09-29,15:30:00,378.80,384.00,357.75,365.05,4002401
GAIL,2016-09-30,15:30:00,365.05,376.40,364.10,374.00,1781208
GAIL,2016-10-03,15:30:00,372.95,387.70,371.55,383.95,2924125
GAIL,2016-10-04,15:30:00,386.00,412.00,386.00,402.75,7794482
GAIL,2016-10-05,15:30:00,404.80,407.80,399.10,400.00,2084692
GAIL,2016-10-06,15:30:00,402.05,419.80,400.00,414.60,4720229
GAIL,2016-10-07,15:30:00,416.10,419.00,412.40,412.45,2384084
GAIL,2016-10-10,15:30:00,416.00,424.30,412.75,417.00,2064756
GAIL,2016-10-13,15:30:00,415.30,425.00,410.05,413.00,2648443
GAIL,2016-10-14,15:30:00,415.45,432.75,413.30,428.60,4014055
GAIL,2016-10-17,15:30:00,434.90,437.90,424.70,427.60,2081234
GAIL,2016-10-18,15:30:00,428.90,434.70,426.60,430.45,1829719
GAIL,2016-10-19,15:30:00,431.00,445.00,429.75,436.40,3979560
GAIL,2016-10-20,15:30:00,440.00,443.65,433.60,438.00,2783120
GAIL,2016-10-21,15:30:00,438.00,448.95,437.30,441.00,2548222
