symbol,date,time,open,high,low,close,volume
BHARTIARTL,2016-08-09,15:30:00,352.90,355.05,344.75,349.40,5168298
BHARTIARTL,2016-08-10,15:30:00,351.00,353.40,345.00,346.00,1535903
BHARTIARTL,2016-08-11,15:30:00,346.25,346.75,342.00,345.00,2485709
BHARTIARTL,2016-08-12,15:30:00,344.25,349.00,344.10,347.75,2356815
BHARTIARTL,2016-08-16,15:30:00,348.50,351.35,339.70,342.60,3742897
BHARTIARTL,2016-08-17,15:30:00,343.50,349.50,343.50,345.90,3222433
BHARTIARTL,2016-08-18,15:30:00,348.40,353.90,346.85,353.05,1886760
BHARTIARTL,2016-08-19,15:30:00,354.00,355.00,347.30,350.30,1708149
BHARTIARTL,2016-08-22,15:30:00,351.00,353.00,346.10,350.80,886465
BHARTIARTL,2016-08-23,15:30:00,348.00,355.40,344.70,354.95,2295101
BHARTIARTL,2016-08-24,15:30:00,354.00,358.35,350.00,352.25,1631250
BHARTIARTL,2016-08-25,15:30:00,351.25,354.00,344.10,350.30,3229352
BHARTIARTL,2016-08-26,15:30:00,347.50,348.10,341.55,343.60,1127246
BHARTIARTL,2016-08-29,15:30:00,343.50,347.75,335.25,340.90,2549031
BHARTIARTL,2016-08-30,15:30:00,342.75,344.10,328.75,332.05,4044189
BHARTIARTL,2016-08-31,15:30:00,332.25,336.90,328.85,333.00,6401848
BHARTIARTL,2016-09-01,15:30:00,330.00,332.35,301.50,310.15,35411027
BHARTIARTL,2016-09-02,15:30:00,308.15,320.95,306.50,317.25,15330612
BHARTIARTL,2016-09-06,15:30:00,318.90,322.80,312.65,320.90,7067529
BHARTIARTL,2016-09-07,15:30:00,318.50,322.40,316.10,319.15,3414495
BHARTIARTL,2016-09-08,15:30:00,320.15,327.20,319.00,324.45,3442329
BHARTIARTL,2016-09-09,15:30:00,323.50,326.75,318.35,320.35,2956745
BHARTIARTL,2016-09-12,15:30:00,317.90,321.95,314.10,317.80,3149855
BHARTIARTL,2016-09-14,15:30:00,317.10,323.25,317.10,319.90,2004656
BHARTIARTL,2016-09-15,15:30:00,319.05,325.00,316.90,321.55,2074012
BHARTIARTL,2016-09-16,15:30:00,322.10,326.50,321.10,322.75,3230892
BHARTIARTL,2016-09-19,15:30:00,323.00,325.00,321.05,324.00,1529681
BHARTIARTL,2016-09-20,15:30:00,324.00,324.00,317.70,319.70,2739997
BHARTIARTL,2016-09-21,15:30:00,320.40,323.00,318.80,322.00,1663305
BHARTIARTL,2016-09-22,15:30:00,323.60,327.95,322.65,326.00,1480515
BHARTIARTL,2016-09-23,15:30:00,326.00,330.00,324.00,326.90,2135834
BHARTIARTL,2016-09-26,15:30:00,326.00,328.70,319.10,319.65,2155103
BHARTIARTL,2016-09-27,15:30:00,321.90,321.90,314.05,315.00,2244406
BHARTIARTL,2016-09-28,15:30:00,313.55,323.45,311.10,322.50,2941322
BHARTIARTL,2016-09-29,15:30:00,322.50,323.70,314.10,315.50,6256119
BHARTIARTL,2016-09-30,15:30:00,315.75,316.50,308.10,313.50,5727632
BHARTIARTL,2016-10-03,15:30:00,314.00,320.00,314.00,318.00,1507552
BHARTIARTL,2016-10-04,15:30:00,317.50,324.85,316.10,323.30,2621167
BHARTIARTL,2016-10-05,15:30:00,322.00,326.15,320.60,322.00,1297532
BHARTIARTL,2016-10-06,15:30:00,324.95,325.25,319.10,321.45,1569393
BHARTIARTL,2016-10-07,15:30:00,322.60,324.45,317.20,319.35,1331294
BHARTIARTL,2016-10-10,15:30:00,318.10,319.90,315.00,315.55,2421849
BHARTIARTL,2016-10-13,15:30:00,312.95,313.90,305.50,306.45,3100457
BHARTIARTL,2016-10-14,15:30:00,307.90,307.90,302.40,305.80,4894941
BHARTIARTL,2016-10-17,15:30:00,305.40,305.85,296.25,301.50,3406493
BHARTIARTL,2016-10-18,15:30:00,302.00,308.00,297.05,307.90,4599085
BHARTIARTL,2016-10-19,15:30:00,306.65,309.45,304.00,307.05,4572957
BHARTIARTL,2016-10-20,15:30:00,307.10,310.50,305.00,309.60,4768039
BHARTIARTL,2016-10-21,15:30:00,311.40,311.40,305.60,309.20,2129413
