symbol,date,time,open,high,low,close,volume
PNB,2016-08-25,15:30:00,126.45,127.40,125.10,125.10,4990619
PNB,2016-08-26,15:30:00,125.75,126.00,122.30,122.80,7612957
PNB,2016-08-29,15:30:00,122.80,123.80,121.70,123.40,5588874
PNB,2016-08-30,15:30:00,123.90,127.60,123.50,127.00,8091845
PNB,2016-08-31,15:30:00,127.40,129.90,126.70,127.15,12256198
PNB,2016-09-01,15:30:00,127.25,128.10,125.00,126.10,6989295
PNB,2016-09-02,15:30:00,126.05,126.80,124.30,126.15,6841019
PNB,2016-09-06,15:30:00,127.35,133.20,127.30,133.00,16168091
PNB,2016-09-07,15:30:00,134.00,142.40,134.00,139.80,32963976
PNB,2016-09-08,15:30:00,140.00,143.70,139.70,142.85,15259938
PNB,2016-09-09,15:30:00,142.65,145.80,140.25,145.20,21172922
PNB,2016-09-12,15:30:00,139.70,142.65,135.75,137.00,16293600
PNB,2016-09-14,15:30:00,138.10,142.40,137.80,141.95,11923165
PNB,2016-09-15,15:30:00,142.55,143.20,137.25,138.75,11864416
PNB,2016-09-16,15:30:00,140.95,143.40,137.25,138.10,14310678
PNB,2016-09-19,15:30:00,138.70,140.25,137.70,138.65,6831658
PNB,2016-09-20,15:30:00,138.40,138.90,136.85,137.40,6289148
PNB,2016-09-21,15:30:00,138.00,138.90,135.25,135.30,8304597
PNB,2016-09-22,15:30:00,141.00,141.65,137.65,141.10,10960659
PNB,2016-09-23,15:30:00,141.40,141.85,139.00,139.10,8968324
PNB,2016-09-26,15:30:00,137.50,141.50,137.50,140.05,10127982
PNB,2016-09-27,15:30:00,141.10,141.90,138.75,139.85,8289234
PNB,2016-09-28,15:30:00,139.45,147.20,139.10,146.75,21069168
PNB,2016-09-29,15:30:00,148.00,150.55,131.85,138.00,34985624
PNB,2016-09-30,15:30:00,137.00,141.95,136.50,141.00,15959086
PNB,2016-10-03,15:30:00,143.20,144.25,142.00,143.00,12933258
PNB,2016-10-04,15:30:00,144.00,147.15,141.35,146.50,27243314
PNB,2016-10-05,15:30:00,147.20,147.90,143.50,143.90,14790271
PNB,2016-10-06,15:30:00,144.70,145.10,140.50,142.30,12147845
