symbol,date,time,open,high,low,close,volume
HEROMOTOCO,2016-08-25,15:30:00,3315.10,3330.60,3287.00,3316.40,461761
HEROMOTOCO,2016-08-26,15:30:00,3318.00,3333.00,3297.50,3319.15,381414
HEROMOTOCO,2016-08-29,15:30:00,3330.00,3418.80,3280.60,3413.00,297321
HEROMOTOCO,2016-08-30,15:30:00,3437.90,3485.00,3419.10,3474.75,284628
HEROMOTOCO,2016-08-31,15:30:00,3498.95,3582.70,3478.00,3545.00,651174
HEROMOTOCO,2016-09-01,15:30:00,3560.00,3595.00,3526.30,3545.00,344769
HEROMOTOCO,2016-09-02,15:30:00,3600.00,3614.00,3551.80,3574.00,313570
HEROMOTOCO,2016-09-06,15:30:00,3594.00,3650.00,3590.20,3612.00,241459
HEROMOTOCO,2016-09-07,15:30:00,3618.45,3629.00,3575.20,3616.00,218447
HEROMOTOCO,2016-09-08,15:30:00,3604.05,3740.00,3601.25,3680.00,528176
HEROMOTOCO,2016-09-09,15:30:00,3698.00,3704.45,3566.55,3615.00,379882
HEROMOTOCO,2016-09-12,15:30:00,3540.00,3555.00,3492.00,3537.00,400987
HEROMOTOCO,2016-09-14,15:30:00,3550.00,3609.80,3526.40,3590.00,297674
HEROMOTOCO,2016-09-15,15:30:00,3567.00,3575.00,3503.60,3519.30,203782
HEROMOTOCO,2016-09-16,15:30:00,3558.00,3643.00,3520.65,3592.40,579506
HEROMOTOCO,2016-09-19,15:30:00,3613.90,3616.75,3551.30,3556.10,188824
HEROMOTOCO,2016-09-20,15:30:00,3557.00,3567.85,3460.05,3472.00,504747
HEROMOTOCO,2016-09-21,15:30:00,3490.00,3513.00,3416.65,3461.50,620151
HEROMOTOCO,2016-09-22,15:30:00,3519.70,3576.95,3501.20,3527.65,449341
HEROMOTOCO,2016-09-23,15:30:00,3547.90,3555.00,3515.00,3519.35,443638
HEROMOTOCO,2016-09-26,15:30:00,3518.00,3533.30,3450.50,3456.50,263475
HEROMOTOCO,2016-09-27,15:30:00,3499.75,3499.75,3437.20,3451.95,277573
HEROMOTOCO,2016-09-28,15:30:00,3453.50,3483.50,3444.50,3450.00,419623
HEROMOTOCO,2016-09-29,15:30:00,3489.00,3500.00,3407.55,3434.00,422908
HEROMOTOCO,2016-09-30,15:30:00,3420.15,3445.90,3388.10,3416.00,366861
HEROMOTOCO,2016-10-03,15:30:00,3436.40,3540.00,3435.90,3534.00,387724
HEROMOTOCO,2016-10-04,15:30:00,3594.00,3594.00,3515.40,3532.70,393212
HEROMOTOCO,2016-10-05,15:30:00,3557.85,3557.85,3486.00,3486.00,217243
HEROMOTOCO,2016-10-06,15:30:00,3509.00,3522.15,3456.70,3478.50,263421
