symbol,date,time,open,high,low,close,volume
NTPC,2016-08-25,15:30:00,160.70,161.50,158.10,159.05,7029156
NTPC,2016-08-26,15:30:00,158.90,159.80,157.25,157.90,3297802
NTPC,2016-08-29,15:30:00,158.00,160.00,156.80,160.00,1372318
NTPC,2016-08-30,15:30:00,160.00,162.30,158.85,162.05,2427763
NTPC,2016-08-31,15:30:00,160.30,162.25,158.55,159.15,9249400
NTPC,2016-09-01,15:30:00,159.70,160.65,158.00,158.30,2819201
NTPC,2016-09-02,15:30:00,159.20,160.80,157.75,160.15,3916684
NTPC,2016-09-06,15:30:00,160.50,164.00,160.50,162.70,4394957
NTPC,2016-09-07,15:30:00,163.20,163.60,160.55,161.20,2543139
NTPC,2016-09-08,15:30:00,159.10,162.00,159.05,159.85,2438354
NTPC,2016-09-09,15:30:00,160.00,160.90,158.40,158.80,2126028
NTPC,2016-09-12,15:30:00,156.80,158.20,152.25,153.00,3140374
NTPC,2016-09-14,15:30:00,152.00,156.60,152.00,155.75,3210698
NTPC,2016-09-15,15:30:00,156.40,157.00,152.35,153.60,2688932
NTPC,2016-09-16,15:30:00,154.55,156.95,152.40,154.35,6552680
NTPC,2016-09-19,15:30:00,153.70,156.00,152.85,154.35,1850670
NTPC,2016-09-20,15:30:00,154.90,155.00,153.00,153.25,3064785
NTPC,2016-09-21,15:30:00,153.20,155.40,153.20,154.15,2773523
NTPC,2016-09-22,15:30:00,156.75,157.30,155.00,156.80,2397711
NTPC,2016-09-23,15:30:00,157.20,158.00,156.30,157.00,3864274
NTPC,2016-09-26,15:30:00,155.50,156.50,151.30,152.15,4630941
NTPC,2016-09-27,15:30:00,152.05,153.35,151.00,152.80,2450812
NTPC,2016-09-28,15:30:00,152.50,153.60,152.15,152.50,1970697
NTPC,2016-09-29,15:30:00,153.30,153.75,148.25,150.50,7538387
NTPC,2016-09-30,15:30:00,149.20,151.85,147.30,148.75,3264954
NTPC,2016-10-03,15:30:00,148.75,151.65,148.50,150.40,2048801
NTPC,2016-10-04,15:30:00,150.80,152.85,150.45,152.20,2993822
NTPC,2016-10-05,15:30:00,153.25,153.80,150.35,152.80,2883460
NTPC,2016-10-06,15:30:00,153.20,153.85,148.50,149.70,4235921
