symbol,date,time,open,high,low,close,volume
ULTRACEMCO,2016-08-25,15:30:00,3810.10,3844.70,3756.00,3820.00,491891
ULTRACEMCO,2016-08-26,15:30:00,3820.00,3850.00,3767.45,3800.30,151854
ULTRACEMCO,2016-08-29,15:30:00,3800.00,3802.95,3758.05,3801.00,60496
ULTRACEMCO,2016-08-30,15:30:00,3802.00,3910.00,3802.00,3891.40,175962
ULTRACEMCO,2016-08-31,15:30:00,3925.00,4063.90,3920.00,4029.35,436330
ULTRACEMCO,2016-09-01,15:30:00,3960.00,4093.00,3960.00,4085.00,451549
ULTRACEMCO,2016-09-02,15:30:00,4092.00,4094.95,4038.05,4075.95,279418
ULTRACEMCO,2016-09-06,15:30:00,4095.00,4104.80,4054.20,4073.00,300605
ULTRACEMCO,2016-09-07,15:30:00,4090.00,4120.00,4070.00,4075.00,116165
ULTRACEMCO,2016-09-08,15:30:00,4079.90,4129.70,4063.50,4110.00,138594
ULTRACEMCO,2016-09-09,15:30:00,4119.00,4119.05,3933.40,3975.00,349179
ULTRACEMCO,2016-09-12,15:30:00,3900.00,3939.90,3844.55,3869.05,202915
ULTRACEMCO,2016-09-14,15:30:00,3870.00,3965.00,3833.60,3955.00,213418
ULTRACEMCO,2016-09-15,15:30:00,3949.00,3955.00,3885.00,3950.00,202147
ULTRACEMCO,2016-09-16,15:30:00,3951.90,4028.00,3883.10,3928.95,400208
ULTRACEMCO,2016-09-19,15:30:00,3941.00,4005.00,3892.15,3996.90,276012
ULTRACEMCO,2016-09-20,15:30:00,4019.45,4030.00,3969.45,3978.10,298515
ULTRACEMCO,2016-09-21,15:30:00,3992.80,4023.90,3938.50,3957.35,305282
ULTRACEMCO,2016-09-22,15:30:00,4009.00,4009.00,3960.05,3971.75,292974
ULTRACEMCO,2016-09-23,15:30:00,4010.00,4013.95,3951.00,3962.80,268107
ULTRACEMCO,2016-09-26,15:30:00,3954.10,3957.95,3905.50,3929.00,124089
ULTRACEMCO,2016-09-27,15:30:00,3910.50,3975.00,3902.00,3912.00,182333
ULTRACEMCO,2016-09-28,15:30:00,3906.00,3987.00,3906.00,3970.10,262247
ULTRACEMCO,2016-09-29,15:30:00,3990.10,4000.30,3843.65,3907.75,367284
ULTRACEMCO,2016-09-30,15:30:00,3850.00,3895.40,3838.05,3853.00,241074
ULTRACEMCO,2016-10-03,15:30:00,3874.90,3935.00,3853.60,3929.00,249528
ULTRACEMCO,2016-10-04,15:30:00,3932.50,3990.00,3932.50,3948.10,224189
ULTRACEMCO,2016-10-05,15:30:00,3958.50,4044.75,3939.05,4030.50,325419
ULTRACEMCO,2016-10-06,15:30:00,4037.30,4044.00,3945.95,3962.00,192924
