symbol,date,time,open,high,low,close,volume
TECHM,2016-08-25,15:30:00,470.20,470.95,455.90,457.25,1769817
TECHM,2016-08-26,15:30:00,460.00,463.70,457.00,460.40,857182
TECHM,2016-08-29,15:30:00,462.70,462.70,448.55,450.05,797904
TECHM,2016-08-30,15:30:00,451.50,464.70,451.20,463.50,981748
TECHM,2016-08-31,15:30:00,462.00,473.80,461.55,470.40,1779070
TECHM,2016-09-01,15:30:00,470.00,476.40,466.30,468.00,1046734
TECHM,2016-09-02,15:30:00,469.95,474.20,465.95,471.00,1070131
TECHM,2016-09-06,15:30:00,470.00,481.25,467.40,477.70,1553926
TECHM,2016-09-07,15:30:00,481.20,483.50,470.15,471.00,1254946
TECHM,2016-09-08,15:30:00,465.00,466.95,455.00,459.30,3145694
TECHM,2016-09-09,15:30:00,458.00,465.45,451.30,457.95,1469794
TECHM,2016-09-12,15:30:00,454.00,466.40,453.00,464.10,1746181
TECHM,2016-09-14,15:30:00,466.70,472.60,463.65,467.00,1321007
TECHM,2016-09-15,15:30:00,469.00,471.90,460.80,463.15,956858
TECHM,2016-09-16,15:30:00,467.40,469.00,459.00,464.00,1477056
TECHM,2016-09-19,15:30:00,468.20,474.70,464.35,466.45,1134564
TECHM,2016-09-20,15:30:00,469.00,469.00,460.25,462.00,913111
TECHM,2016-09-21,15:30:00,464.00,465.75,455.10,462.50,2142358
TECHM,2016-09-22,15:30:00,465.00,466.80,453.75,454.55,2766927
TECHM,2016-09-23,15:30:00,458.00,458.00,452.85,453.95,2221151
TECHM,2016-09-26,15:30:00,452.05,454.20,446.00,446.50,1027167
TECHM,2016-09-27,15:30:00,446.00,453.40,446.00,448.00,1306463
TECHM,2016-09-28,15:30:00,449.00,449.00,439.40,440.70,1785763
TECHM,2016-09-29,15:30:00,444.00,444.00,424.30,425.00,4331711
TECHM,2016-09-30,15:30:00,435.00,435.00,418.70,420.65,2210429
TECHM,2016-10-03,15:30:00,420.00,425.00,418.20,420.95,1754766
TECHM,2016-10-04,15:30:00,424.65,431.90,422.25,429.25,2145572
TECHM,2016-10-05,15:30:00,431.10,433.00,423.25,424.50,1476240
TECHM,2016-10-06,15:30:00,425.00,428.65,419.15,420.50,1559084
