symbol,date,time,open,high,low,close,volume
KOTAKBANK,2016-08-25,15:30:00,778.00,784.00,772.05,781.00,1477112
KOTAKBANK,2016-08-26,15:30:00,782.50,789.00,772.85,781.00,853973
KOTAKBANK,2016-08-29,15:30:00,780.70,788.90,775.15,780.00,762039
KOTAKBANK,2016-08-30,15:30:00,781.90,787.05,780.20,784.60,799025
KOTAKBANK,2016-08-31,15:30:00,795.00,814.95,793.15,809.00,3346444
KOTAKBANK,2016-09-01,15:30:00,813.00,817.45,807.50,812.50,1161928
KOTAKBANK,2016-09-02,15:30:00,812.00,815.75,808.30,813.10,930759
KOTAKBANK,2016-09-06,15:30:00,819.90,822.00,815.00,818.75,1027879
KOTAKBANK,2016-09-07,15:30:00,818.85,823.00,802.45,804.75,1171053
KOTAKBANK,2016-09-08,15:30:00,804.75,822.30,800.25,818.00,1724362
KOTAKBANK,2016-09-09,15:30:00,819.70,825.40,808.60,818.10,1144933
KOTAKBANK,2016-09-12,15:30:00,811.95,815.00,805.00,814.00,741529
KOTAKBANK,2016-09-14,15:30:00,813.90,820.00,803.30,805.80,2041155
KOTAKBANK,2016-09-15,15:30:00,806.95,811.75,803.30,808.10,1182665
KOTAKBANK,2016-09-16,15:30:00,810.90,819.95,804.70,805.90,4352409
KOTAKBANK,2016-09-19,15:30:00,808.40,812.20,799.10,802.00,2257955
KOTAKBANK,2016-09-20,15:30:00,802.00,803.30,791.50,792.50,1557067
KOTAKBANK,2016-09-21,15:30:00,794.10,795.75,786.65,788.60,2317848
KOTAKBANK,2016-09-22,15:30:00,799.00,801.90,791.00,794.15,2111498
KOTAKBANK,2016-09-23,15:30:00,795.70,803.40,793.05,793.10,4190651
KOTAKBANK,2016-09-26,15:30:00,792.15,794.25,784.35,786.50,1117777
KOTAKBANK,2016-09-27,15:30:00,785.25,798.25,782.50,785.75,1427314
KOTAKBANK,2016-09-28,15:30:00,783.00,791.80,778.50,782.50,1955271
KOTAKBANK,2016-09-29,15:30:00,787.50,799.45,769.25,778.70,55058370
KOTAKBANK,2016-09-30,15:30:00,772.00,782.30,766.10,780.20,2432078
KOTAKBANK,2016-10-03,15:30:00,788.95,792.70,783.15,789.45,982792
KOTAKBANK,2016-10-04,15:30:00,790.90,796.60,782.30,790.35,1152157
KOTAKBANK,2016-10-05,15:30:00,794.80,794.80,780.50,780.50,1007548
KOTAKBANK,2016-10-06,15:30:00,782.00,790.00,777.50,780.70,1362633
