symbol,date,time,open,high,low,close,volume
ZEEL,2016-08-09,15:30:00,498.00,513.95,494.05,511.50,1629914
ZEEL,2016-08-10,15:30:00,511.75,517.80,508.05,515.90,1930239
ZEEL,2016-08-11,15:30:00,515.00,515.65,497.15,501.45,1554397
ZEEL,2016-08-12,15:30:00,501.40,507.55,497.95,506.00,1144279
ZEEL,2016-08-16,15:30:00,501.00,507.20,498.40,504.15,954609
ZEEL,2016-08-17,15:30:00,505.60,506.15,496.00,497.35,819571
ZEEL,2016-08-18,15:30:00,502.00,504.80,498.10,501.75,768492
ZEEL,2016-08-19,15:30:00,503.80,505.20,499.25,503.05,714686
ZEEL,2016-08-22,15:30:00,501.20,512.00,501.20,511.00,852737
ZEEL,2016-08-23,15:30:00,509.05,517.95,505.50,517.90,1128798
ZEEL,2016-08-24,15:30:00,515.00,524.00,514.60,522.80,1525305
ZEEL,2016-08-25,15:30:00,522.00,525.60,507.45,510.50,1750407
ZEEL,2016-08-26,15:30:00,511.10,515.75,504.00,505.50,1939625
ZEEL,2016-08-29,15:30:00,506.00,532.55,505.05,532.30,3385040
ZEEL,2016-08-30,15:30:00,534.00,534.30,522.10,529.00,3109674
ZEEL,2016-08-31,15:30:00,522.55,543.95,522.55,540.50,5861296
ZEEL,2016-09-01,15:30:00,544.85,544.85,533.20,536.00,1539206
ZEEL,2016-09-02,15:30:00,540.00,540.00,530.30,532.00,1194571
ZEEL,2016-09-06,15:30:00,534.00,539.25,531.00,538.25,1076564
ZEEL,2016-09-07,15:30:00,536.20,537.60,530.25,535.55,1112034
ZEEL,2016-09-08,15:30:00,537.05,542.40,533.30,538.60,1258079
ZEEL,2016-09-09,15:30:00,537.90,539.25,531.30,532.35,877367
ZEEL,2016-09-12,15:30:00,529.95,529.95,511.80,517.35,1518821
ZEEL,2016-09-14,15:30:00,516.20,520.95,507.40,519.15,2913337
ZEEL,2016-09-15,15:30:00,520.00,535.10,512.70,530.20,3332908
ZEEL,2016-09-16,15:30:00,531.00,536.45,516.65,520.85,2508819
ZEEL,2016-09-19,15:30:00,519.00,528.60,518.40,525.00,1711991
ZEEL,2016-09-20,15:30:00,521.80,529.35,520.10,526.25,2177115
ZEEL,2016-09-21,15:30:00,526.00,530.00,520.00,527.95,1535258
ZEEL,2016-09-22,15:30:00,532.00,535.00,523.60,524.75,2089493
ZEEL,2016-09-23,15:30:00,526.30,529.95,522.80,525.10,1274962
ZEEL,2016-09-26,15:30:00,525.00,532.45,523.55,531.65,1574191
ZEEL,2016-09-27,15:30:00,533.00,543.60,528.70,531.50,2744720
ZEEL,2016-09-28,15:30:00,530.90,552.00,527.05,551.00,2133278
ZEEL,2016-09-29,15:30:00,552.00,558.75,531.80,547.20,4017561
ZEEL,2016-09-30,15:30:00,547.00,553.50,540.55,545.55,1827559
ZEEL,2016-10-03,15:30:00,552.40,589.90,548.75,578.65,3906682
ZEEL,2016-10-04,15:30:00,580.00,580.00,558.75,564.80,2639742
ZEEL,2016-10-05,15:30:00,567.90,574.50,561.65,565.55,1350725
ZEEL,2016-10-06,15:30:00,566.65,570.40,552.15,559.00,2062374
ZEEL,2016-10-07,15:30:00,558.50,573.50,555.50,571.00,1273456
ZEEL,2016-10-10,15:30:00,569.00,575.00,562.55,567.50,821752
ZEEL,2016-10-13,15:30:00,568.60,568.60,539.15,548.00,2313854
ZEEL,2016-10-14,15:30:00,550.75,550.75,525.00,528.00,4313266
ZEEL,2016-10-17,15:30:00,531.00,531.00,497.25,498.25,6199392
ZEEL,2016-10-18,15:30:00,500.00,519.75,498.30,515.00,5249857
ZEEL,2016-10-19,15:30:00,515.95,516.60,504.85,508.55,3673486
ZEEL,2016-10-20,15:30:00,510.90,521.75,508.65,519.90,2148787
ZEEL,2016-10-21,15:30:00,518.00,528.60,517.70,521.10,2305920
