symbol,date,time,open,high,low,close,volume
AUROPHARMA,2016-08-09,15:30:00,775.00,778.75,755.80,763.00,1344357
AUROPHARMA,2016-08-10,15:30:00,767.80,771.25,743.60,745.00,1957664
AUROPHARMA,2016-08-11,15:30:00,751.00,754.95,736.10,751.50,1550330
AUROPHARMA,2016-08-12,15:30:00,752.95,759.30,742.80,744.90,1099346
AUROPHARMA,2016-08-16,15:30:00,750.00,751.20,729.00,734.50,1666669
AUROPHARMA,2016-08-17,15:30:00,733.95,751.40,732.25,751.00,1011947
AUROPHARMA,2016-08-18,15:30:00,753.00,762.40,744.30,751.05,925884
AUROPHARMA,2016-08-19,15:30:00,750.80,766.50,748.85,765.50,1259276
AUROPHARMA,2016-08-22,15:30:00,767.75,774.00,745.20,747.00,2097448
AUROPHARMA,2016-08-23,15:30:00,750.00,750.00,730.40,738.00,2729952
AUROPHARMA,2016-08-24,15:30:00,759.30,790.95,750.10,787.50,7364073
AUROPHARMA,2016-08-25,15:30:00,798.00,804.80,788.00,790.25,4776503
AUROPHARMA,2016-08-26,15:30:00,791.00,797.20,784.05,789.40,1998554
AUROPHARMA,2016-08-29,15:30:00,792.50,798.20,780.65,790.00,2185406
AUROPHARMA,2016-08-30,15:30:00,794.00,802.00,788.30,800.00,1541064
AUROPHARMA,2016-08-31,15:30:00,803.45,805.00,788.00,790.35,1836797
AUROPHARMA,2016-09-01,15:30:00,790.60,792.35,770.00,772.50,1603565
AUROPHARMA,2016-09-02,15:30:00,775.00,784.90,766.35,778.50,1435953
AUROPHARMA,2016-09-06,15:30:00,785.00,786.90,773.55,778.15,1104637
AUROPHARMA,2016-09-07,15:30:00,780.00,789.90,778.05,782.15,1120056
AUROPHARMA,2016-09-08,15:30:00,787.60,809.90,777.00,809.50,2545948
AUROPHARMA,2016-09-09,15:30:00,811.15,818.50,799.40,802.90,2741200
AUROPHARMA,2016-09-12,15:30:00,792.00,798.00,779.60,780.70,1358801
AUROPHARMA,2016-09-14,15:30:00,783.00,790.00,776.80,782.00,906566
AUROPHARMA,2016-09-15,15:30:00,785.00,801.00,778.10,780.10,1594700
AUROPHARMA,2016-09-16,15:30:00,786.00,799.60,783.10,786.00,1464908
AUROPHARMA,2016-09-19,15:30:00,788.95,806.00,788.05,805.50,1902581
AUROPHARMA,2016-09-20,15:30:00,810.00,814.50,801.75,807.00,2023790
AUROPHARMA,2016-09-21,15:30:00,809.90,814.65,803.55,806.00,1511927
AUROPHARMA,2016-09-22,15:30:00,814.00,859.75,811.25,855.15,7694607
AUROPHARMA,2016-09-23,15:30:00,860.45,862.90,832.35,836.40,3445219
AUROPHARMA,2016-09-26,15:30:00,842.00,849.00,835.00,836.55,1622232
AUROPHARMA,2016-09-27,15:30:00,842.00,864.90,839.05,861.00,3242810
AUROPHARMA,2016-09-28,15:30:00,871.10,882.80,866.15,869.10,3685022
AUROPHARMA,2016-09-29,15:30:00,876.00,876.50,784.35,831.45,4591243
AUROPHARMA,2016-09-30,15:30:00,829.90,859.80,818.05,857.00,2665449
AUROPHARMA,2016-10-03,15:30:00,862.00,873.95,860.00,869.60,1421425
AUROPHARMA,2016-10-04,15:30:00,870.00,883.00,864.25,867.00,1140725
AUROPHARMA,2016-10-05,15:30:00,872.95,873.00,860.30,867.00,1320553
AUROPHARMA,2016-10-06,15:30:00,874.00,895.00,851.40,858.75,2835229
AUROPHARMA,2016-10-07,15:30:00,841.60,875.00,834.50,855.45,19421500
AUROPHARMA,2016-10-10,15:30:00,859.95,863.70,849.10,857.55,1248029
AUROPHARMA,2016-10-13,15:30:00,853.95,853.95,817.65,822.00,2225473
AUROPHARMA,2016-10-14,15:30:00,825.20,829.60,813.10,824.50,1777821
AUROPHARMA,2016-10-17,15:30:00,830.00,830.00,806.05,809.00,1185530
AUROPHARMA,2016-10-18,15:30:00,815.00,837.95,812.00,835.00,1672372
AUROPHARMA,2016-10-19,15:30:00,839.45,840.40,825.10,827.00,1120956
AUROPHARMA,2016-10-20,15:30:00,833.05,833.05,822.30,826.00,969072
AUROPHARMA,2016-10-21,15:30:00,827.95,827.95,819.00,823.95,853057
